Observation ID,Location ID,Observed Property ID,Observed DateTime,Analyzed DateTime,Depth,Depth Unit,Data Classification,Result Value,Result Unit,Source Of Rounded Value,Rounded Value,Rounding Specification,Result Status,Result Grade,Medium,Activity ID,Activity Name,Collection Method,Field: Device ID,Field: Device Type,Field: Comment,Lab: Specimen Name,Lab: Analysis Method,Lab: Detection Condition,Lab: Limit Type,Lab: MDL,Lab: MRL,Lab: Quality Flag,Lab: Received DateTime,Lab: Prepared DateTime,Lab: Sample Fraction,Lab: From Laboratory,Lab: Sample ID,Lab: Dilution Factor,Lab: Comment,QC: Type,QC: Source Sample ID,EA_Lab Batch ID,EA_Observation Composite Stat,EA_Upload File Name
,0603071,pH (acidity),2016-06-01T11:50:00-08:00,2016-06-15T00:00:00-08:00,10,metre,LAB,7.18,pH units,,,,Preliminary,Ungraded,Water - Fresh,,2999350,Grab,,,,Physical Properties,X330;Meter;EMS Migration,,,0.1,,,2016-06-02T00:00:00-08:00,,,ALS,2,,,,,L1777681,,edt-water-november-26-2024v2-copy.xlsx
,0500118,Vanadium Total (fl. conc.),2017-04-06T10:00:00-08:00,2017-04-10T00:00:00-08:00,1,metre,LAB,0.0002,mg/L,,,,Preliminary,Ungraded,Water - Fresh,,3106375,Grab,,,,Metals - Total,"X561;Total metals: FA, HNO3, HR-ICPMS (No Prep)Prep);EMS Migration",NOT_DETECTED,,0.0002,,,2017-04-07T00:00:00-08:00,,Total,ALS,1,,,,,L1910695,,edt-water-november-26-2024v2-copy.xlsx
,0500615,Hardness (Dissolved) (as CaCO3) (fl. conc.),2018-09-05T10:20:00-08:00,2018-09-07T00:00:00-08:00,13,metre,LAB,118,mg/L,,,,Preliminary,Ungraded,Water - Fresh,,3293185,Grab,,,,Major Ions,XCAL;Calculation (mg/L);EMS Migration,,,0.5,,,2018-09-06T08:40:00-08:00,,Dissolved,ALS,2,,,,,L2159364,,edt-water-november-26-2024v2-copy.xlsx
,E301590,Chlorophyll A (fl. conc.),2016-08-23T11:26:00-08:00,2016-09-09T00:00:00-08:00,1,metre,LAB,0.00108,mg/L,,,,Preliminary,Ungraded,Water - Fresh,,3033607,Grab,,,,Biological Examination,X454;Fluorimetric: Extraction;EMS Migration,,,0.00001,,,2016-08-26T00:00:00-08:00,,,ALS,2,,,Replicate,,L1819916,,edt-water-november-26-2024v2-copy.xlsx
,E301591,Phosphorus Ort.Dis-P (fl. conc.),2018-05-02T11:00:00-08:00,2018-05-04T00:00:00-08:00,25,metre,LAB,0.001,mg/L,,,,Preliminary,Ungraded,Water - Fresh,,3248705,Grab,,,,Nutrients,1380;Auto.Ascorbic Acid;EMS Migration,NOT_DETECTED,,0.001,,,2018-05-03T00:00:00-08:00,,,ALS,2,,,,,L2088651,,edt-water-november-26-2024v2-copy.xlsx
,E301591,Nitrogen Organic-Total (fl. conc.),2018-05-02T11:00:00-08:00,2018-05-04T00:00:00-08:00,25,metre,LAB,0.088,mg/L,,,,Preliminary,Ungraded,Water - Fresh,,3248705,Grab,,,,Nutrients,CS01;System Calculation;EMS Migration,NOT_DETECTED,,,,,2018-05-03T00:00:00-08:00,,Total,ALS,,,,,,,,edt-water-november-26-2024v2-copy.xlsx
,E301591,Barium Total (fl. conc.),2018-05-02T10:30:00-08:00,2018-05-11T00:00:00-08:00,1,metre,LAB,0.00866,mg/L,,,,Preliminary,Ungraded,Water - Fresh,,3248706,Grab,,,,Metals - Total,"X561;Total metals: FA, HNO3, HR-ICPMS (No Prep)Prep);EMS Migration",,,0.00002,,,2018-05-03T00:00:00-08:00,,Total,ALS,1,,,,,L2088651,,edt-water-november-26-2024v2-copy.xlsx
,E301591,Chromium Total (fl. conc.),2018-05-02T10:30:00-08:00,2018-05-11T00:00:00-08:00,1,metre,LAB,0.0001,mg/L,,,,Preliminary,Ungraded,Water - Fresh,,3248706,Grab,,,,Metals - Total,"X561;Total metals: FA, HNO3, HR-ICPMS (No Prep)Prep);EMS Migration",NOT_DETECTED,,0.0001,,,2018-05-03T00:00:00-08:00,,Total,ALS,1,,,,,L2088651,,edt-water-november-26-2024v2-copy.xlsx
,E301591,Nitrogen Kjel.Tot(N) (fl. conc.),2022-04-19T14:40:00-08:00,2022-05-02T00:00:00-08:00,14,metre,LAB,0.105,mg/L,,,,Preliminary,Ungraded,Water - Fresh,,3892962,Grab,,,,Nutrients,TKNF;TKN-F-VA;EMS Migration,,,0.05,,,2022-04-21T16:40:00-08:00,,,ALS,002,,,,,VA22A8414,,edt-water-november-26-2024v2-copy.xlsx
,E301591,Nitrate(NO3) + Nitrite(NO2) Dissolved (fl. conc.),2022-04-19T14:30:00-08:00,2022-04-26T00:00:00-08:00,1,metre,LAB,0.0188,mg/L,,,,Preliminary,Ungraded,Water - Fresh,,3892963,Grab,,,,Nutrients,XCAL;Calculation (mg/L);EMS Migration,,,0.0032,,,2022-04-21T16:40:00-08:00,,Dissolved,ALS,001,,,,,VA22A8414,,edt-water-november-26-2024v2-copy.xlsx
